IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP8,IP_PROP3,IP_PROP7,IP_PROP5,IP_PROP4,IP_PROP6,IC_GROUP0,IC_GROUP1,IC_GROUP2
189,4d7e34bf-3d91-11e8-ba94-226e60c524e5,189,Y,,,,,text,,,text,,500,,5-я Подлесная 1 этап,4d7e34bf-3d91-11e8-ba94-226e60c524e5,"УР Октябрьский р-он г. Ижевск ограничение улицами 5-я Подлесная,4-я Подлесная",Комплекс жилых домов по ул. 5-я Подлесная в Октябрьском районе г. Ижевска,,,,,
190,adbf1deb-1d97-11e6-9691-5cf3fc3b5be6,190,Y,,,,,text,,,text,,500,,ЖК MAXIMA 1 этап строит-ва 1.2 секция,adbf1deb-1d97-11e6-9691-5cf3fc3b5be6,с кадастровым номером 18:26:010229:44,"Жилой комплекс в квартале, ограниченном улицами: Школьная - 5-я Подлесная – Нижняя - 4-я Подлесная в г. Ижевске. Первый этап строительства – двухсекционный четырнадцатиэтажный жилой дом",ЖК MAXIMA, марта 2017 года,,,
191,adbf1dec-1d97-11e6-9691-5cf3fc3b5be6,191,Y,,,,,text,,,text,,500,,ЖК МAXIMA 1 этап строит-ва 1.1 секция ,adbf1dec-1d97-11e6-9691-5cf3fc3b5be6,с кадастровым номером 18:26:010229:44,"Жилой комплекс в квартале, ограниченном улицами: Школьная - 5-я Подлесная – Нижняя - 4-я Подлесная в г. Ижевске. Первый этап строительства – двухсекционный четырнадцатиэтажный жилой дом",ЖК MAXIMA, марта 2017 года,,,
192,adbf1dea-1d97-11e6-9691-5cf3fc3b5be6,192,Y,,,,,text,,,text,,500,,ЖК MAXIMA 2 этап строит-ва,adbf1dea-1d97-11e6-9691-5cf3fc3b5be6,18:26:010229:44,"Жилой комплекс в квартале, ограниченном улицами: Школьная - 5-я Подлесная – Нижняя - 4-я Подлесная в г. Ижевске. Второй этап строительства – односекционный семнадцатиэтажный жилой дом",ЖК MAXIMA,августа 2017 года,,,
193,942f7719-1d97-11e6-9691-5cf3fc3b5be6,193,Y,,,,,text,,,text,,500,,ГОРИЗОНТЫ 2. Секция 1,942f7719-1d97-11e6-9691-5cf3fc3b5be6,18:08:023002:1786,Многоквартирный жилой дом переменной этажности 6-16 этажей в границах муниципального образования – сельское поселение «Первомайское» в Завьяловском районе УР»,ЖК Горизонты,не позднее сентября 2018 года,,,
194,942f771a-1d97-11e6-9691-5cf3fc3b5be6,194,Y,,,,,text,,,text,,500,,ГОРИЗОНТЫ 2. Секция 2,942f771a-1d97-11e6-9691-5cf3fc3b5be6,18:08:023002:1786,Многоквартирный жилой дом переменной этажности 6-16 этажей в границах муниципального образования – сельское поселение «Первомайское» в Завьяловском районе УР»,ЖК Горизонты,не позднее сентября 2018 года,,,
195,9a48fdcd-1d97-11e6-9691-5cf3fc3b5be6,195,Y,,,,,text,,,text,,500,,ГОРИЗОНТЫ 2. Секция 3,9a48fdcd-1d97-11e6-9691-5cf3fc3b5be6,18:08:023002:1786,Многоквартирный жилой дом переменной этажности 6-16 этажей в границах муниципального образования – сельское поселение «Первомайское» в Завьяловском районе УР»,ЖК Горизонты,не позднее сентября 2018 года,,,
196,9a48fdcf-1d97-11e6-9691-5cf3fc3b5be6,196,Y,,,,,text,,,text,,500,,ГОРИЗОНТЫ 2. Секция 4,9a48fdcf-1d97-11e6-9691-5cf3fc3b5be6,18:08:023002:1786,Многоквартирный жилой дом переменной этажности 6-16 этажей в границах муниципального образования – сельское поселение «Первомайское» в Завьяловском районе УР»,ЖК Горизонты,не позднее сентября 2018 года,,,
197,9a48fdd0-1d97-11e6-9691-5cf3fc3b5be6,197,Y,,,,,text,,,text,,500,,ГОРИЗОНТЫ 2. Секция 5,9a48fdd0-1d97-11e6-9691-5cf3fc3b5be6,18:08:023002:1786,Многоквартирный жилой дом переменной этажности 6-16 этажей в границах муниципального образования – сельское поселение «Первомайское» в Завьяловском районе УР»,ЖК Горизонты,не позднее сентября 2018 года,,,
198,f7a01f53-7773-11e7-92cc-5cf3fc3b5be6,198,Y,,,,,text,,,text,,500,,КП Европа 3 очередь,f7a01f53-7773-11e7-92cc-5cf3fc3b5be6,Завьяловский район д. Русский Вожой,КП Европа,,,,,
